;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all2slm1n;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n;all3slm1n
Em que cidade da Inglaterra está a sede do MI6?;272134727;300922001;270040065;278815129;292605042;280538597;465630409;453216441;319656824;306492124;795438582;779959992;291094642;306348076;1232076954;1056171563;306083535;305111254;1915461508;1305649469;315060008;338234264;4043110947;2020299435;362285351;390244152;7965001494;3091352490;415846994;404080018;39247761636;5961462356;482504671;507217989;0;9619174128;618352852;580043818;0;33329338056;1089272880;1027603658;0;0
A Crise dos Mísseis de Cuba ocorreu antes da Invasão da Baía dos Porcos?;166350714;185253891;188792748;201750058;190570740;184035694;302327713;354192390;208359715;202637188;552195403;393104566;188279988;202980859;1068866832;672491454;210723393;211846300;1499384660;869388842;193335075;205676931;3144339623;1111896222;203315552;228378092;6665536655;1462189452;238578329;261629193;24718806094;2578839587;270423290;264464118;0;3931786160;308927681;286952459;0;5855424708;251288095;269728368;0;60351754054
Qual o significado de IYCM?;180972255;177206467;190481447;198171231;180919924;199895142;322308765;264058616;181344850;183964744;613076040;354066152;188537325;194706679;1049231786;549834547;210304994;206966312;1595879339;664788880;196542358;192599651;3838940245;906562518;203710360;212978973;7419487866;1978337046;241507343;252559190;30105124910;5007778449;263735132;251703447;0;14439835123;330631414;288356244;0;60395528778;305961337;319190918;0;0
Quando a Dinastia Ming acabou?;102973958;101576923;117839043;120056837;108716679;106824706;283395247;282046334;138638519;129470978;569715013;560082555;160992474;157184610;1039805538;1064117991;209595307;193664753;1567997064;1503192114;278191565;284736079;4232832342;4283921680;284143155;297746330;8540753433;7289491105;312896723;311351010;34322539301;15631065582;327549742;323365893;0;34154841731;349619045;361590971;0;53847724935;402766614;416605572;0;0
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;269760789;277741288;285900013;285706290;297163685;281028546;496649974;431557288;299536015;264291358;824788596;564264990;288341577;290558124;1317440833;1245179482;308195383;386781998;2022302939;1502051194;346688634;332948140;4875012730;2755091139;375058643;412228539;9396052679;5957323823;484522073;560787786;31993885747;17161955621;476282869;517826154;0;61463175841;592965539;560586224;0;0;693251265;588927408;0;0
Qual é a população total de Melbourne, Florida?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Arnold Schwarzenegger frequentou uma universidade?;199981486;188661253;207804483;209140334;194558443;183455322;370013036;347994389;205162847;207923392;691890027;669655145;236280949;231330060;1019882682;1207670949;257446416;243089750;2024298323;1764483896;309865589;289321943;4289539548;4197562177;364420026;365002860;8517345503;8351262981;388754053;343569670;33329606889;23499628464;472336737;503139287;0;43398192000;523604914;577051898;0;0;592896443;573193856;0;0
Em que país está o Monte Everest?;241943338;240715622;245848870;257557733;258118845;243133942;396736252;394051965;268060290;268750038;814316198;708589931;265850811;282222390;1136230762;1196905266;327455204;286807516;1534566431;1654301952;314734669;331279002;3685313833;3409151922;331303821;339430914;9484817361;4992262917;357864198;331826056;37505986118;11194436016;377292168;381402640;0;24865117539;380724359;400015506;0;40765875378;399638676;381459227;0;0
Qual é a maior cidade da Austrália?;389504558;442033345;490985448;499612421;520583393;430462641;670825604;569540471;487642515;521963703;875051835;678173055;403922868;407816567;1601700768;817182704;440432066;412410228;2102602553;1086799330;508410773;480556628;4870412439;1529410990;508969302;438648096;9833193541;1999614739;447148531;487168161;42010764564;5462683383;564853467;476227905;0;18015095971;524539648;613142363;0;44233187991;733958472;654422909;0;0
Ache todas as plataformas de lançamento espaciais operadas pela NASA.;385588118;339844450;433129949;358282261;378434219;446416423;545105937;566528180;365796532;367895482;866474109;837611115;388260259;359046957;1300089007;1311469346;431046200;425856539;2142629650;1510145847;394653990;416372854;4630953704;2601176882;474355815;455699229;9394401136;5306653782;523090523;514675596;31589330705;10191892017;727132258;595424588;0;19494172036;797130963;624921743;0;37058197548;969536329;971993872;0;0
Quem é o prefeito de Tel Aviv?;210672444;219369284;224931891;238897198;228064053;222257354;369264387;380720545;242741977;243746137;679309524;668300753;257573318;256976193;1051110428;1061513486;256482345;270407560;1197522823;1543411615;304058698;320708201;3430702162;3795795860;358089223;338691686;7042025430;7460648894;445429326;458636957;29651961104;33185887086;504292010;503221901;0;0;506583211;515562714;0;0;538096970;577804471;0;0
Liste todos os episódios da primeira temporada do seriado Família Soprano da HBO.;288778914;287610081;341064694;271842483;284941142;290057108;546282409;431399021;289860029;279993245;815403547;631096096;305421481;307739476;1315380738;1248782599;292137822;282103337;1784415247;1504469531;350234772;349715538;4183589652;2690453064;387511736;367598154;9030878925;4748453428;485106876;512702553;34667148859;16421572642;497200400;542073924;0;57112614114;521205354;569995988;0;0;624928956;639822720;0;0
Quem criou Batman?;251934261;218466766;214947814;258571264;235349119;214624488;364431292;316361029;236890889;232148932;707474555;448970661;247565375;247882596;1166226819;668677915;280675955;247708604;1721372376;1137772397;321839416;308712004;4288003615;2336642163;357025839;368966567;8341516590;6323686502;413234583;403064952;30144176017;26454818275;446285000;424083734;0;42327232737;483440996;454746808;0;0;497926531;519213431;0;0
Quem interpretou Gus Fring em Breaking Bad?;102101368;103358677;124115770;134845992;115658839;116103876;295066376;302212678;137601031;129763143;552156011;588135441;164144703;167564479;1057768598;1078445059;197816483;197059267;1567640061;1549409108;283799343;278070397;4271654062;4276573772;293613868;277853573;8334384223;6533063460;313586627;313442528;30493970052;22950231563;319606223;333825637;0;35648039110;348755726;361297980;0;0;324103221;384088372;0;0
Em que linguagem de programação foi escrito o GIMP?;165821377;175328221;198553098;195817393;180127956;181428632;303285024;350572380;204551338;193003734;609216147;642039483;207175172;216651824;1073463191;1165106981;214047272;227425037;1602850589;1634706875;232881209;223895223;4237909015;3063543446;238610296;266036236;8369430743;4686682470;270300534;281747350;30400163556;9542680885;326384836;293253123;0;16791414170;311196274;347043809;0;29058738764;342040377;344351488;0;0
Em que império antigo você poderia pagar com grãos de cacau?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem é o editor da Forbes?;236985491;220565087;261779696;237119031;252401895;249312163;392297039;381590420;244636430;246426529;683806999;719225968;252515649;269604073;1082202973;1063079267;298232339;282916734;1548306835;1621508526;314852553;291535224;3979403476;2877498211;271040306;295671625;7094388970;4251387545;294288421;289828400;29419989861;8832726595;359850778;330052477;0;14783059997;297175543;325191735;0;33907623725;346022645;310034685;0;0
Quantos habitantes tem a capital da Austrália?;237053201;231801828;222594684;249991718;235413192;232511709;390287232;394070384;229383889;238224448;729025473;705811187;257403386;234447518;1116106047;1147948334;247506145;254085412;1621254653;1648045498;270607793;281007957;4160940160;4005598611;278092504;275931255;7958774633;8095474785;314784222;340181802;30169091852;29522562502;401588480;429394111;0;0;458279183;467992978;0;0;762278214;754388261;0;0
Quais surfistas profissionais nasceram na Austrália?;163269300;168838442;186292698;194994994;162219856;181094076;370042026;281002445;202812622;174409854;714511061;435434122;204176970;229938642;1216850718;707782016;213372008;208382252;1742389870;873823011;231520370;235159443;4147650485;1227946976;253555573;249481432;9910340530;2532382333;294437896;301353048;32539833730;12525355883;393079794;399962402;0;41608455666;485755208;488193092;0;0;791775376;751280750;0;0
Que companhias de eletrônica foram fundadas em Beijing?;299866424;304292221;291179564;309846568;274908109;310084409;470191132;420685559;311444038;307240542;796795019;661845560;313829425;314026485;1186150119;1184927501;354923069;337262948;1711021850;1592823410;423290672;401887309;3643262670;3725411366;503635311;454524097;7986773634;6893068344;601339673;577128452;36797387915;19677938711;683354034;763216269;0;36993607218;863443357;831486315;0;62825909850;1017166926;983557445;0;0
Mostre todos os jogos da Mean Hamster Software.;259820132;271500284;275923566;261337893;272642911;254423126;377552520;349495187;281464778;277993567;728771279;664604974;247288517;297616681;1203855331;1105078119;309880777;287207296;1776110707;1645811499;356692358;359262734;3978450075;3236356694;413569814;441283148;8668505828;7413283612;581383900;555830068;29772286606;27154008114;798433702;750846408;0;0;1045834756;917123524;0;0;1071183773;1348248258;0;0
Quantas lojas Aldi existem?;85789959;91594362;116849585;118762886;99970745;97525252;295155382;326216831;124102678;121638108;571012784;563066600;138816493;129659861;1118708668;1011604850;140116782;129555372;1341801938;1152698443;131465966;123883736;1393599020;1138931828;133458499;130803386;1410338265;1179451916;146121693;139450806;1348996126;1195400938;144806145;135803548;1336302336;1254274732;134866680;130436552;1354951035;1161731969;126578381;133505250;1467256619;1151407869
Qual a capital de Camarões?;240716644;241763438;252988617;247350361;246829976;264121712;426469279;386327875;253127844;262020329;763049685;747748722;258631035;290875455;1194909386;1162881601;289262365;266843370;1629911542;1425505711;270342962;277805452;3689739330;2561401591;328798366;270796662;9822874278;4276491825;329940996;337513073;30342711834;7532509768;311773420;346281230;0;12645580662;320144242;317930299;0;25564892618;335200076;358680541;0;60506313842
Há algum jogo eletrônico chamado Battle Chess?;292712627;317515906;306963548;299034112;381769685;306354084;478650218;377891156;294970424;302621642;834089746;519941946;319556337;344314976;1380985684;954320116;294927651;299996403;1970932712;1210740275;311963819;312318378;4398683404;1780658359;302039076;345819973;9042744674;2484684904;328331425;359773393;38033099797;4033189884;364642194;468312659;0;6033427764;511319417;494506264;0;9376266749;732743227;824555515;0;27886534238
A esposa do Presidente Lincoln chamava-se Mary?;294468957;324775700;328110440;340634004;324496780;322871252;505858268;462290189;359918982;376019197;783046019;638899550;369605485;346375864;1274974952;1054635604;359920607;361510895;1852295889;1361696110;352994238;374227696;4097962612;1949928588;360466046;399746385;8367870290;2959286034;371617437;437540069;36534714687;6591212264;374036585;409931469;0;10618740729;407052052;421379758;0;15200374931;424877569;384070397;0;63509589955
Encontre todos os filmes dirigidos por Francis Ford Coppola.;317690872;348696944;319321047;316194945;342254015;299126837;462736646;426388600;336670625;353994667;824434856;708914076;341033246;313791518;1240487950;1099632476;358915398;358307985;1874172281;1665372937;395414202;395028554;4166793237;3668977301;411817933;417228475;8363811437;7492633493;557983836;535003038;32834744957;30916531736;580046838;540136241;0;85182064181;575328557;545667462;0;0;611955984;600178766;0;0
Qual filme de Tim Burton teve o maior orçamento?;278024119;269033371;294236239;310352649;313454688;314460284;417518670;394076018;294033167;306870990;787957079;597316761;356033429;343007779;1280221935;1130274441;360674480;348387772;1783352328;1750845095;381605138;405469972;4181140597;3433762880;425279360;407347504;9381249268;5151870693;431338095;440450639;39963497366;11817655211;432801283;459026958;0;24138897047;452428892;471969683;0;43950682711;508352512;529039244;0;0
Breaking Bad tem mais episódios do que Game of Thrones?;90576404;94327906;117230169;108668543;103337231;108572756;309503903;249338956;113860997;109828240;614751618;518068333;120693651;128220187;1235653497;1167700406;147216569;139383416;1954289193;1754821998;186356023;190625171;4387087554;4197585671;245634998;256084479;9827508235;8123663324;342955837;324442644;35575680611;28392477739;359474307;374333124;0;0;386710627;396466782;0;0;422769766;452819460;0;0
Quem era chamado de Rodzilla?;159131905;158180125;196550705;182351712;163640064;162412580;341923054;236008117;162395475;175326993;637795337;469598453;172883977;173613115;1158272744;927639175;174206924;178135821;1691705128;1151816031;204228084;192918941;3963045717;2499397099;205850846;204627788;8454287809;3859137533;219775533;219301487;31172590541;7453129401;236662519;228825531;0;13477732035;254887275;293445057;0;24144313339;272520974;321693335;0;0
Natalie Portman nasceu nos Estados Unidos?;200817477;197578630;213782629;213125993;214468095;211059214;360302683;342443890;234336711;223103555;668504853;410228292;278024236;256760173;1185866230;656628200;264459949;267224513;1791278976;789265621;271267893;286856337;4316038601;1812552894;302055871;304585336;8743585589;4465754301;361135749;371928837;33111246861;10793756350;462904605;383122966;0;18337470206;563520861;609308386;0;32794122056;924311429;1009904126;0;0
Mostre os netos de Elvis Presley.;185386037;179586951;187779975;202554495;188562850;183872521;357041028;360932166;215483753;191580581;637483751;635443145;223037704;219937268;1078219687;995879920;272147899;247021526;1498692396;1564584261;289996130;292494863;3795913177;3861824985;371613721;366308428;6968712090;8113064397;477280683;494293300;24091601690;23229054830;601525346;605838171;0;0;722460633;741716594;0;0;813557634;832715387;0;0
Quais filmes protagonizados por Mickey Rourke foram dirigidos por Guy Ritchie?;276351821;279252811;286240787;294400477;277847749;283068987;453904508;364175905;306390351;283205337;819678721;530800085;302984927;300603582;1369190280;772221185;328139265;325635542;2072465072;1075649942;362190984;347432158;4827704224;2163346692;408762347;446824080;9518558672;4624765559;498467789;406252149;34929602402;10644855136;541999026;496238407;0;21802518326;565081890;560697416;0;40624853017;1015828876;973014927;0;0
Quando morreu o criador de Drácula?;271264421;278992898;255063916;252543461;228622377;248792463;334878221;376171812;268289671;255384258;747726030;768986121;265369550;270555513;1107570964;1142414043;287869886;269739005;1654317359;1360659415;323344794;311687570;3325300454;3592476913;321785784;311046382;7207153378;6070924170;340432181;358420953;33529873842;12293240931;411912388;339739329;0;25110087416;394865774;387186297;0;47456081461;394679700;406665717;0;0
De que país vem o criador de Miffy?;238062181;227791135;263798482;260411506;251977134;277898867;432528607;321377664;249049819;263683019;806407331;450678529;265573291;250023917;1244820018;664734976;261042980;258687592;2031614768;901292797;280048693;271435251;4667400966;1075242240;294673548;287172858;10174865820;1431982384;312467311;279284069;35353725742;8501148798;323977842;311319180;0;26337038652;361860021;356853009;0;46285962778;521813950;396678245;0;0
Qual é o nome verdadeiro do Batman?;351199244;375586634;379071062;361524379;350278552;331697101;596343040;497150174;386623860;374842460;878072529;763540495;382443261;409496255;1337427193;1237498861;390247171;386607424;1824574884;1679309949;512452727;441490185;4485531102;3995812486;494162414;490384764;8810544784;6423962628;555924812;491027374;36904838832;13184724205;524852978;552303516;0;29107966635;604934156;570876202;0;40400798544;648399685;672693167;0;0
Que forma de governo a Rússia possui?;229906564;219895446;275953276;246043874;257153296;217671711;391886872;344137746;275223723;235904242;712554232;666520275;236977003;264976912;1112152812;995794453;258808234;265498172;1558418702;1451853567;272389994;254012346;4127496694;3868937333;298742970;290179811;7696924635;6916968331;299049076;335198178;35855602871;27875541292;405703147;385409621;0;0;462800257;461931088;0;0;591035540;589546845;0;0
Quantas companhias foram fundadas pelo fundador do Facebook?;274712815;280909695;294937832;290956226;285295314;286591274;456316737;348462190;311695632;307788894;801927108;435494852;318011832;308915451;1149479630;639571188;313258650;341488713;1739256932;866220081;433383715;363824505;3974496421;1122699205;389141776;393679611;8015446355;1684471996;409482627;455748493;34162415776;4659777396;433842293;431829505;0;35716939495;444028281;475877449;0;112593912435;478667822;500088831;0;0
Liste todas as gravadoras canadenses de música Grunge.;285808414;273615964;320517118;311558165;313932282;322080482;487619138;392901911;302340299;305774584;790356132;676719229;344298975;349111114;1356097401;1151391230;340012933;373099637;1893254355;1627929215;379048789;401873264;4355693024;3722773679;511335059;463469687;8055315812;7099679603;641493376;660296186;28772593476;29861720946;854271933;881010923;0;0;918044214;948865467;0;0;1070534764;1162333070;0;0
Quantos filhos Benjamim Franklin teve?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Liste os filhos de Margaret Thatcher.;226708676;229858181;226400135;213691564;238139363;241460158;380019307;397633797;257469575;241911115;648961847;708920832;250379979;279328763;1089083037;1081499057;285332129;271653682;1664615617;1577592006;336827953;345409141;3797044364;3809271120;340818139;352962651;8105772538;7151123404;377589732;378171922;32451991902;16288190027;424309498;420070547;0;33968208133;410859648;437351339;0;57781887272;485361881;411285198;0;0
De que região é o Melon de Bourgogne?;315405037;314681070;343564515;348171486;374271308;317610714;548197104;503884330;337897697;375349060;793630505;792158511;369084788;424033281;1240458552;1159684439;400205828;375337344;1799980122;1771218861;442362949;419711826;4484237215;3662899081;543503427;505778039;7741735325;10007917775;664317249;691488984;33010429590;30597948579;887278454;882886357;0;0;1042708516;1005689639;0;0;1322004609;1268491430;0;0
Qual é o filho mais velho de Meryl Streep?;342865717;356812939;330645333;384260451;375834142;336910094;495779574;567736349;341210809;358662654;862774348;856093265;371350955;352157730;1247914420;1227992650;413257964;383664081;1654168239;1710717194;467691691;511398482;4135352929;3877015832;544199262;558336538;8182080765;8189274182;586988902;592426231;33339723981;28317176482;650950115;678601634;0;60633730538;694208038;660894141;0;0;705063316;793354554;0;0
As rãs arborícolas são um tipo de anfíbio?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Christian Bale atua em Velvet Goldmine?;92689299;96334562;110552249;107727780;100866932;96288478;312378613;238592370;106621529;112187894;593588269;529391105;131561419;125126529;1148015771;1132004835;148066564;162476414;1771672033;1716073507;190940788;199248338;4521649622;4467253178;275637710;266283804;9659896569;8465564540;304638171;301019893;35112022324;24643006523;315241340;342824063;0;46665305310;306589363;355163530;0;62266382180;333128462;365422780;0;52487963375
Liste todos os jogos da GMT.;247538078;249780180;250479451;276070383;264691926;270607806;391133317;409460588;262846986;269047983;665502524;637900552;295849761;260436177;1160569269;973070398;326473706;299915347;1669557072;1272657865;346113481;325044955;4053528441;2322932429;350279944;358914065;4490169889;3823490912;364749688;374781801;10264936502;7622087323;464930685;467804268;38281047838;20560932111;612960420;556969371;0;39322783914;995667700;1052232999;0;0
O Isar desemboca em um lago?;189797176;194501334;225125730;199859146;208295259;217242510;377959171;361640724;224841701;199713283;622399510;594080889;220364911;234356169;1128525627;908336752;225484294;233236164;1762632142;1187346116;255087727;266251704;3621618955;1618978039;330657982;339639041;8015856930;2844413023;481678314;496949779;30154921550;5385420727;630572836;653233511;0;8827765330;886416343;858359329;0;13592733419;1181572852;1319961026;0;32514262486
Que aeroportos a Yeti Airlines serve?;226649685;217402345;231457179;234083298;238760239;215833238;373507778;374178175;232880691;253694892;678857039;699326629;259686182;242791583;1174240275;1155790830;259529229;268860285;1849001238;1672017747;299458963;326497609;4151909837;3976376191;358869101;389039844;7453310336;7050540214;484017169;507155004;29868483362;22996936167;501675317;507590688;0;39829284849;523295737;536236535;0;0;579990359;614626332;0;0
Que empresa indiana tem o maior número de empregados?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Que cor expressa a lealdade?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Qual a cidade com maior população?;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
Quem criou a Wikipedia?;163425743;149500000;178134587;168678304;170327759;178095236;326796394;250085976;182218698;180365925;655507735;332155872;199400133;187974729;1129846426;707954053;199093109;207073202;1752920278;1112822313;274866691;261954101;4021521243;3155331298;352580291;352500732;8009041103;6363791428;514572091;487632362;28875224117;23086265086;744108637;778936503;0;0;746211231;732418546;0;0;790069989;818250037;0;0
Rita Wilson é a esposa de Tom Hanks?;249457317;243612835;253145297;277551942;269674742;249592000;415518553;467722923;265094759;256945445;729321525;681025569;260437543;287033962;1216052221;1194203681;296917179;277417596;1711108008;1419314047;341334334;333967473;4151889384;3862609432;358997898;379043480;8938890737;8953660592;452259122;489578806;33516212258;30313655166;519097623;491291944;0;0;502136537;505451600;0;0;573897791;580934895;0;0
A esposa do presidente Obama chama-se Michelle?;250708225;255261627;281073660;284582414;284827434;254964849;441929404;361232422;261813482;255279441;789570791;555885430;289717461;325748512;1259093171;1085385863;325224612;311595199;1949347244;1605407526;349435154;332655727;4089727187;3465287549;380339863;343671911;9145077399;9289322563;438714324;511448071;36564816166;26190672129;567399412;588730343;0;46692186599;563559999;632395780;0;0;583445677;673534464;0;0
Quantos grupos étnicos vivem na Eslovênia?;472468127;523735702;536088750;437045724;420484724;462244872;587137741;516718667;395378858;486886926;935086252;621637555;549066391;477321522;1353830747;1008852408;426838605;450701332;1784744263;1278630408;554132533;537704014;4489621022;2111198059;488038554;409472142;8583735288;4132359509;579441084;627550112;32780424422;10534556983;447908132;489039083;0;24510755139;536603424;522291793;0;40453141493;657762225;685259834;0;0
Quem é o presidente da Eritrea?;229790014;239116520;249829472;253395853;250312384;251362732;395005203;390055539;256603167;252770554;725109203;690835377;266170896;278233150;1076003744;1171750562;281006451;295800126;1629662760;1268017777;357544208;344449224;3598801423;3039890485;429882232;368468801;7157445895;7454307721;542394264;548600015;31362475975;42536829289;535132383;581880735;0;60737443241;571324681;562046495;0;0;566511237;583821547;0;0
Que filmes Stanley Kubrick dirigiu?;170766550;177264304;186765858;197124982;193618643;193861069;380615466;305690648;203468076;197426544;619364094;379827437;196845542;221300124;1189957211;608298655;242702808;249103755;1753108136;776801487;298105013;280086227;4471982284;851202517;315751726;289153938;8963024351;1615035949;310670035;313316807;31505868967;7504155550;341710872;323386868;0;22811216792;332365411;324457925;0;40047500813;331699715;317914297;0;0
Quando o Titanic foi completado?;89077832;83653963;111494654;106261597;112078903;103585305;339535372;324726870;120258937;124877981;582069200;619564120;155503990;174130294;1119804083;1095777181;187969923;190220060;1636208257;1648341289;287221703;301408514;4309853858;4227808843;335911887;303411226;8054117605;7892479268;359950130;375409131;10647932912;9657086674;358295629;365464709;10656950341;9103915042;358083571;367875460;9790608652;9705593940;371155112;380321857;10972695783;9889750257
Quantas páginas tem Guerra e Paz?;225386573;242485451;252018289;251970228;230260910;228126123;410958757;409535169;261267740;244712455;745913742;788703422;267032344;270490129;1194697054;1152595615;270240205;301016405;1674960468;1695100500;325436441;324802118;3968264235;3833773667;408954413;428040285;9094076178;8350858327;493115479;472067848;35028429678;36193246805;740040386;728543446;0;0;928070437;1001237179;0;0;898530993;1277642534;0;0
Quem é o jogador mais jovem da Premier League?;184112397;201511149;205594490;205199350;202338970;190225386;362680887;338900003;212206291;206732843;667814642;690365514;227884299;223726735;1160459417;1201567655;240826289;249461877;1748406030;1614868631;250186912;273277819;4107107030;3313417033;303707829;307123647;8506677969;5056993889;317417943;339742531;36230395596;10522323700;357693164;352502415;0;20188770098;428861677;517552030;0;31834580000;538707506;555188471;0;0
Qual a montanha mais alta da Itália?;232022387;215733944;236455997;265747362;226960610;278568627;412734720;374672354;250694389;238373003;720328475;690074576;267144946;239691359;1244969569;1151278729;264632702;239221386;1654817324;1591703208;248978431;281590531;4296005183;4203536161;290348585;283371269;8233973194;6262928893;290195853;268710984;40115277792;12564799772;304120520;292277290;0;29532392860;318553467;340000315;0;41672013943;430623624;412508316;0;0
Qual a altura de Claudia Schiffer?;210386995;203243180;210871475;215254688;230113233;224767675;349726680;369750325;228748561;233690310;647001026;664378760;258699196;231141183;1150661991;963375978;251920580;242500474;1631062820;1213431385;229263814;238729621;3663334325;1901734780;271365375;259150524;7752045410;3017048624;310090430;298551462;31279551363;6469673281;318894247;278774504;0;12129619520;330257406;341911228;0;24303546353;377847093;368686362;0;69496589294
Quem foi o vice presidente de John F. Kennedy?;215130967;212271158;222937456;248235905;226465477;213437871;394452116;327101875;215564654;243100134;715793257;536872740;225415434;231400854;1175879844;898102059;257735015;242369053;1956303118;1231234669;276432990;294877688;4209139417;2598813558;310629222;332248892;9118119801;4906307945;387982719;399981244;37141990286;15833220266;407852460;400917529;0;38387848010;440606410;412630308;0;110682359092;490157699;448384647;0;0
Que subsidiária da Lufthansa atende Dortmund e Berlin?;212978723;176272408;192332831;196358236;205807601;222957799;393233875;351561530;202151120;185506640;685925850;578642818;210971344;226267387;1072358114;1074278245;252097650;205680837;1824399549;1460735552;241899362;249398289;4748449921;3107462267;265116728;278268933;8784701382;5588722334;358427406;377290644;36120674260;27528976003;412961258;427759456;0;0;481251084;504742276;0;0;716217136;752027831;0;0
Quem foi o sucessor de John F. Kennedy?;228521196;205470335;220932494;218277861;222874988;204847007;398242485;275567654;225556844;199574065;670421534;394895076;214147754;218884922;1120488498;667754676;225858722;222766760;1780306807;889487044;236822053;241153840;3879900819;1535334355;241402668;224544510;8502506974;2650411261;248272616;254741427;28230151737;6244996046;300250925;275987035;0;10742398109;291251477;268000204;0;26843659747;320119882;293228996;0;0
Quem compôs a trilha sonora do Titanic de Cameron?;260969166;226392129;268790529;245956559;228375791;253627057;412545102;392033349;253517315;265163089;709342822;653459385;277176896;260362622;1227726771;1143439512;265594233;280194235;1772993211;1515913751;313924935;309080859;4087930101;2658709698;366797810;356199697;7903948052;5669458671;464087894;448970012;37894799117;23336453385;524299750;473946067;0;44384327419;530283075;528399106;0;0;545027047;582632164;0;0
Quais filmes Kurosawa dirigiu?;163699526;167664549;176236848;177462568;190496356;163013966;326007359;295706969;171622936;178695791;589354178;460323158;197551674;179848557;1272171876;733181056;178157357;196748488;1936157933;1141096998;189714520;206434212;4052009191;1655381575;198252540;204668346;9249130979;2745684994;233213650;234255059;37826577761;5897957496;252080092;269867482;0;9656555986;279073860;260137950;0;16070334183;230186504;271049678;0;0
Para qual gravadora Elvis gravou seu primeiro álbum?;301781185;286953369;331849126;309698478;272767919;327351946;468544177;359271706;314094797;301452979;831531344;432822255;294550710;296477843;1238192508;800303319;324503715;369512859;2008388382;1002538333;420229600;391172334;4479059924;1631032212;439573814;470029896;9202879940;2820596663;616785650;579035268;32374352042;6788221564;704419009;742289770;0;14861191525;923905241;841494764;0;24026666320;948981119;1020784162;0;0
Em que fuso horário está Roma?;223131839;238591056;263890399;217601778;245277968;205994022;458256694;446422846;230853825;252238179;788822499;742927687;276100088;288455230;1263925277;1227815693;307984355;257457811;1878068823;1739566338;371545827;345948358;3887712521;3933708010;425083455;462667444;9467376839;7630099548;506368904;545260193;28828926422;34558764650;576075744;572200469;0;0;710661460;701110252;0;0;1024229720;1018893763;0;0
Qual a moeda da China?;250987235;250533544;268073233;277930190;271717573;348489356;438450408;422953043;322259314;301528787;716664231;762539697;278242030;361340630;1134465536;1164734483;313104186;299480863;1667311528;1626559958;380085363;364521809;4283311580;4385389377;413699903;428036479;8379301267;7881976937;646216863;597669053;32989974929;34075136432;735489389;790565033;0;0;916424021;912252587;0;0;985037958;1126945028;0;0
Quem são os desenvolvedores do DBPedia?;127076854;137348522;148109729;152739909;150346375;149014566;340953662;335474004;158370153;158906145;617776564;621586551;166059745;169274819;1040438672;891137798;178153987;169032557;1671106532;1177947072;165105821;177199847;3886881039;1831296651;190743592;176716355;7969676937;2786561678;222972543;224851472;29862616744;5168348135;217233900;260530098;0;9154255173;238179165;241592851;0;15158596348;269840397;330603957;0;31696787644
